evidence_level,subset,rul_threshold_tau,late_tolerance_epsilon,mean_difference_ocm_minus_rast,nominal_crossed_ci95_low,nominal_crossed_ci95_high,centered_bootstrap_p,bootstrap_p_mcse,exact_seed_signflip_p,eligible_engine_count,bootstrap_repetitions,holm_adjusted_p_all80,sensitivity_decision
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,30.0,0.5,-0.10188679245283021,-0.22373083131557708,0.0,0.07019298070192981,0.0025545919482783566,0.0625,53,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,30.0,1.0,-0.0981132075471698,-0.2109090909090909,-0.006346726190476285,0.059394060593940604,0.002363489371207243,0.0625,53,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,30.0,2.0,-0.06415094339622643,-0.1686339869281046,0.013045260156806798,0.1601839816018398,0.0036675826163533585,0.1875,53,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,30.0,5.0,-0.03773584905660378,-0.09411764705882353,0.008510638297872339,0.14178582141785823,0.0034881289428459997,0.125,53,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,40.0,0.0,-0.08985507246376814,-0.17429220779220783,-0.014492753623188415,0.028597140285971403,0.0016666303188414698,0.0625,69,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,40.0,0.5,-0.08695652173913042,-0.18367622724765584,-0.006151515151515154,0.05349465053494651,0.0022500646681391104,0.0625,69,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,40.0,1.0,-0.08405797101449275,-0.17333823529411765,-0.010663157894736859,0.0451954804519548,0.0020772225240752915,0.0625,69,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,40.0,2.0,-0.06086956521739131,-0.15556372549019606,0.008002702702702617,0.14058594140585942,0.0034757654342537805,0.25,69,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,40.0,5.0,-0.043478260869565216,-0.10667241379310347,0.0054813546423135165,0.12148785121487851,0.003266770292413084,0.25,69,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,50.0,0.0,-0.07999999999999999,-0.1618034419001564,-0.008988764044943809,0.0405959404059594,0.0019734238173021146,0.0625,80,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,50.0,0.5,-0.075,-0.16579107830551995,0.0,0.07219278072192781,0.002587939058497958,0.0625,80,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,50.0,1.0,-0.0725,-0.15675675675675677,-0.004761904761904799,0.060493950604939506,0.002383878135941089,0.0625,80,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,50.0,2.0,-0.045000000000000005,-0.1308641975308642,0.01794871794871794,0.23967603239676033,0.004268643936547653,0.25,80,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,50.0,5.0,-0.04,-0.10126582278481013,0.011267605633802816,0.1573842615738426,0.0036414447086717187,0.25,80,10000,1.0,no adjusted evidence
